Room ID;Name;Host ID;Neighbourhood;Room type;Room Price;Minimum nights;Number of reviews;Date last review;Number of reviews per month;Rooms rent by the host;Availibility;Updated Date;City;Country;Coordinates;Location
1996705;Zentrales Wohnen in Ruhelage;10247624;Alsergrund;Entire home/apt;66;2;44;30.12.2019;0.59;3;333;16.06.2020;Vienna;Austria;48.22502775810101, 16.36298754567501;Austria, Vienna, Alsergrund
2064084;Quiet Appartement in VIENNA  (WLAN);10561541;Brigittenau;Entire home/apt;49;59;126;13.03.2020;Січ.64;1;0;16.06.2020;Vienna;Austria;48.23014359023523, 16.36508704655522;Austria, Vienna, Brigittenau
2113795;Naschmarkt premium: 2 bathrooms, terrace & central;809077;Margareten;Entire home/apt;129;1;194;27.01.2020;Лют.59;10;32;16.06.2020;Vienna;Austria;48.19377462884269, 16.35904804811572;Austria, Vienna, Margareten
2143300;GoVienna Homlike City Apartment;341923;Landstra§e;Entire home/apt;67;2;18;18.09.2019;0.23;3;347;16.06.2020;Vienna;Austria;48.19828923147579, 16.39438698667434;Austria, Vienna, Landstra§e
2654911;LUXURY DESIGN HOME V;305673;Innere Stadt;Entire home/apt;125;3;44;04.01.2020;0.63;5;355;16.06.2020;Vienna;Austria;48.21245969007287, 16.369844583221496;Austria, Vienna, Innere Stadt
2678206;Vienna Apartment SKY / 2 bedrooms/ balcony/ View;3901874;Innere Stadt;Entire home/apt;90;3;41;13.01.2019;0.71;2;365;16.06.2020;Vienna;Austria;48.20862071617344, 16.373681443128945;Austria, Vienna, Innere Stadt
2698913;Arty Appartement from 1900 - 4rooms;11501161;Josefstadt;Entire home/apt;84;1;0;;;1;0;16.06.2020;Vienna;Austria;48.210626059307515, 16.342099685201482;Austria, Vienna, Josefstadt
2788604;Cosy apartment in the citycenter;5700379;Josefstadt;Entire home/apt;150;2;2;01.01.2017;0.04;1;0;16.06.2020;Vienna;Austria;48.208751405214834, 16.3443832188748;Austria, Vienna, Josefstadt
3012314;QUIET, COMFORTABLE CITY CENTER FLAT;15350642;Josefstadt;Entire home/apt;65;3;13;04.01.2019;0.18;1;0;16.06.2020;Vienna;Austria;48.21297662035332, 16.35423616183866;Austria, Vienna, Josefstadt
3077554;Flat with garden next to citycenter;15630179;Margareten;Entire home/apt;80;2;26;15.12.2019;0.36;1;356;16.06.2020;Vienna;Austria;48.194203759811316, 16.359933509171437;Austria, Vienna, Margareten
